name,mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,mean9,mean10,mean11,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11
mizuo1,169670.65789473685,53803.34210526316,10058.447368421053,10512.578947368422,6572.368421052632,4682.815789473684,1995.1842105263158,1369.7894736842106,17084.947368421053,6678,1369.7894736842106,211451.69091921087,72744.57612093526,10509.476825321364,12399.894026778868,9207.06645497746,4592.083175108996,2797.912763916618,3042.6080671712402,18375.76347994592,6888.978638681537,3042.6080671712402
mizuo2,182656.23684210525,59320.78947368421,20121.657894736843,18897.973684210527,8886,4553.5526315789475,1804.8947368421052,759.3421052631579,27783.973684210527,6358.4473684210525,759.3421052631579,208250.95082305642,36039.47350304567,24401.940425729645,18001.958005328845,6378.592325320029,4127.859702183946,1560.571619116967,550.065846599812,22263.783631821672,5447.2656766944165,550.065846599812
mizuo3,204003.15789473685,73688.47368421052,23005.5,18610.736842105263,11398.657894736842,6455.526315789473,1759.3947368421052,1170.2105263157894,30009.394736842107,8214.921052631578,1170.2105263157894,247159.3885581706,74178.76199132133,31245.035338476282,20141.66064820848,14164.243709307186,7136.232998382425,1537.6275221308977,1177.9402441705458,32016.72023666078,8209.877771324193,1177.9402441705458
mizuo4,175915.86842105264,81812.84210526316,18446.605263157893,17809.973684210527,10926.078947368422,5287.131578947368,2482.657894736842,1324.5526315789473,28736.052631578947,7769.789473684211,1324.5526315789473,237456.86041559227,97277.28071249307,15449.435952128468,14969.096517557067,11352.125955269066,5694.184351604311,2274.6871881682146,1440.1151579934667,22587.961630674177,7425.559844773339,1440.1151579934667
mizuo5,135055.23684210525,70471.02631578948,19687.157894736843,19930,8993.394736842105,4539.815789473684,2061.157894736842,1203.9736842105262,28923.394736842107,6600.973684210527,1203.9736842105262,90217.56209718646,55066.86718817732,21205.010550545674,16332.639563318084,7560.296737908867,3577.0064803971663,1479.921219921694,1016.116147703238,21408.474948191444,4810.0683794616625,1016.116147703238
mukai1,101843.84210526316,41451.65789473684,9904.28947368421,12754,7571.184210526316,5490.4473684210525,2962.3947368421054,2951.684210526316,20325.184210526317,8452.842105263158,2951.684210526316,152506.41635121737,23847.36702588306,9813.748095369216,9799.861776683652,5445.8534049469,3758.1266798721354,2062.1193178438857,2868.422481409591,13398.345021239442,5252.7610510359,2868.422481409591
mukai2,247913.02631578947,87072.42105263157,15990.421052631578,14006.052631578947,11309.71052631579,7978.578947368421,5624.473684210527,2669.7894736842104,25315.763157894737,13603.052631578947,2669.7894736842104,410066.7195865164,159899.63515504796,11557.519638362537,13102.032921704953,15242.830148713227,7551.527233583733,5318.091608328183,2145.8093450146857,23111.39920202766,12289.258591716265,2145.8093450146857
mukai3,224115.73684210525,77476.81578947368,25215.842105263157,17172.315789473683,7995.394736842105,8039.078947368421,5716.868421052632,3637.2368421052633,25167.71052631579,13755.947368421053,3637.2368421052633,447823.6225605417,100318.55763355347,52949.8616794209,21025.073427627285,7386.303671196452,9683.156136143072,8140.776958170944,5764.606342675193,25040.217882972418,17577.598353926707,5764.606342675193
mukai4,289462.9210526316,69267.81578947368,16356.71052631579,12247.973684210527,11262.631578947368,6975.315789473684,4906.868421052632,3102.4210526315787,23510.605263157893,11882.184210526315,3102.4210526315787,367810.0704999496,88827.59008381149,12465.322361419288,10437.368067837697,10338.910289267873,4565.731284628444,3209.3411044624477,2202.5818777012214,17858.081513538422,7042.5703324226115,2202.5818777012214
mukai5,131182.31578947368,55659.47368421053,13853.447368421053,13613.763157894737,9968.947368421053,5567.3421052631575,3768.9210526315787,1930.657894736842,23582.71052631579,9336.263157894737,1930.657894736842,130406.47996696316,37522.7704451695,21958.57783202557,9116.719534760558,8704.45909304496,6086.142734356794,4950.930860808314,2847.745888614692,14931.130742790725,10823.439862495828,2847.745888614692
